Block_name,Block_id
Ashti,57161
Karanja,57231
Risod,57271
Malegaon,57241
Mangrulpir,57251
Washim,57281
Manora,57261
Babhulgaon,572%3A1
Yavatmal,57431
Kalamb,57341
Arni,57291
Wani,57421
Digras,57321
Maregaon,57371
Ralegaon,573%3A1
Ghatanji,57331
Ner,57381
Umarkhed,57411
Kelapur,57351
Darwha,57311
Mahagaon,57361
Pusad,57391
Zari Jamni,57441
