state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Tamil Nadu,Nilgiris,Coonoor,74451,Bandishola,11114911191,55.0,19,1842,1842,5,5,5,5,6,6,6,6,100% Har Ghar Jal,3756,0,3004,6760
Tamil Nadu,Nilgiris,Coonoor,74451,Burliar,11114911211,55.0,30,1157,1157,9,9,9,9,2,2,2,2,100% Har Ghar Jal,2081,583,1859,4523
Tamil Nadu,Nilgiris,Coonoor,74451,Hubbathalai,11114911221,55.0,34,4312,4312,5,5,5,5,7,7,7,7,100% Har Ghar Jal,7351,16,8136,15503
Tamil Nadu,Nilgiris,Kothgiri,74471,Kunjappanai,11114911151,55.0,40,1289,1180,6,6,6,6,3,3,3,3,In progress,2703,1923,70,4696
Tamil Nadu,Nilgiris,Kothgiri,74471,Naduhatty,11114911161,55.0,36,3390,3390,5,5,5,5,7,7,7,7,100% Har Ghar Jal,2545,0,7139,9684
Tamil Nadu,Nilgiris,Kothgiri,74471,Nedugula,11114911171,55.0,47,3208,3208,14,14,14,14,13,13,13,13,100% Har Ghar Jal,5197,0,9615,14812
Tamil Nadu,Nilgiris,Kothgiri,74471,Thengumarahada,11114911181,55.0,10,845,845,4,4,4,4,3,3,3,3,100% Har Ghar Jal,301,976,1070,2347
Tamil Nadu,Nilgiris,Kothgiri,74471,Aracode,111148%3A%3A%3A81,55.0,18,500,500,3,3,3,3,2,2,2,2,100% Har Ghar Jal,60,1004,0,1064
Tamil Nadu,Nilgiris,Kothgiri,74471,Denad,111148%3A%3A%3A91,55.0,47,3435,3435,9,9,9,9,8,8,8,8,100% Har Ghar Jal,4675,497,4047,9219
Tamil Nadu,Nilgiris,Kothgiri,74471,Jackanarai,111148%3A%3A%3A%3A1,55.0,40,3113,3113,10,10,10,10,1,1,1,1,100% Har Ghar Jal,3137,172,7607,10916
Tamil Nadu,Nilgiris,Kothgiri,74471,Kadinamala,11114911111,55.0,12,221,221,1,1,1,1,1,1,1,1,100% Har Ghar Jal,120,658,0,778
Tamil Nadu,Nilgiris,Kothgiri,74471,Kengarai,11114911121,55.0,41,2136,2136,9,9,9,9,4,4,4,4,100% Har Ghar Jal,1660,1072,5524,8256
Tamil Nadu,Nilgiris,Kothgiri,74471,Kodanad,11114911131,55.0,26,1354,1354,5,5,5,5,6,6,6,6,100% Har Ghar Jal,3333,153,1993,5479
Tamil Nadu,Nilgiris,Kothgiri,74471,Konakarai,11114911141,55.0,35,2157,2157,9,9,9,9,3,3,3,3,100% Har Ghar Jal,2892,1233,3528,7653
Tamil Nadu,Nilgiris,Gudalur,74461,Nellakotta,111148%3A%3A931,55.0,131,8553,8459,33,33,33,33,22,22,22,22,In progress,6663,4336,22187,33186
Tamil Nadu,Nilgiris,Gudalur,74461,Cherangode,111148%3A%3A8%3A1,55.0,159,12040,11939,42,42,42,42,29,29,29,29,In progress,18055,5968,27377,51400
Tamil Nadu,Nilgiris,Gudalur,74461,Masinagudi,111148%3A%3A911,55.0,10,2981,2981,13,13,13,13,6,6,6,6,100% Har Ghar Jal,2077,2031,5693,9801
Tamil Nadu,Nilgiris,Gudalur,74461,Mudumalai,111148%3A%3A921,55.0,16,434,434,4,4,4,4,1,1,1,1,100% Har Ghar Jal,78,556,795,1429
Tamil Nadu,Nilgiris,Gudalur,74461,Srimadurai,111148%3A%3A941,55.0,27,1905,1905,5,5,5,5,3,3,3,3,100% Har Ghar Jal,1137,1239,5165,7541
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Balacola,111148%3A%3A951,55.0,45,6350,6071,14,14,14,14,12,12,12,12,In progress,5021,0,10930,15951
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Nanjanad,111148%3A%3A%3A51,55.0,77,3634,3573,15,15,15,15,6,6,6,6,In progress,4673,855,7319,12847
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Thummanatti,111148%3A%3A%3A61,55.0,25,3075,3075,8,8,8,8,6,6,6,6,100% Har Ghar Jal,1808,0,8226,10034
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Thuneri,111148%3A%3A%3A71,55.0,28,2092,2092,9,9,9,9,7,7,7,7,100% Har Ghar Jal,439,0,7005,7444
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Doddabetta,111148%3A%3A961,55.0,21,1533,1533,8,8,8,8,5,5,5,5,100% Har Ghar Jal,3467,117,2566,6150
Tamil Nadu,Nilgiris,Uthagamandalam,74481,Ebbanad,111148%3A%3A971,55.0,17,1824,1824,11,11,11,11,6,6,6,6,100% Har Ghar Jal,700,615,4962,6277
