state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Kerala,Pathanamthitta,Koipram,71721,Thottapuzhassery,111128258%3A1,100.0,13,5280,3016,11,11,11,11,21,21,14,20,In progress,664,35,14965,15664
Kerala,Pathanamthitta,Koipram,71721,Thelliyoor,11117185321,100.0,6,3032,2087,3,3,3,3,9,9,3,9,In progress,611,25,7569,8205
Kerala,Pathanamthitta,Koipram,71721,Ayiroor,11112825871,100.0,16,7712,6713,15,15,15,15,28,28,26,26,In progress,790,33,20968,21791
Kerala,Pathanamthitta,Konni,71731,Pramadom,11112825941,24.89,11,7268,1893,13,13,13,13,27,27,27,27,In progress,1750,31,19149,20930
Kerala,Pathanamthitta,Konni,71731,Vallicode-kottayam,11112825951,100.0,8,4480,1180,3,3,3,3,14,14,14,14,In progress,1869,160,10859,12888
Kerala,Pathanamthitta,Konni,71731,"Konni Thazham, Malayalapuzha",11117475381,100.0,1,402,129,3,3,3,3,2,2,2,2,In progress,115,1,1290,1406
Kerala,Pathanamthitta,Konni,71731,MYLAPRA,11112825811,28.35,14,4093,1523,6,6,6,6,14,14,14,14,In progress,1698,12,10722,12432
Kerala,Pathanamthitta,Konni,71731,Thannithode,11112825921,48.73,12,3316,1256,13,13,13,13,23,23,23,23,In progress,1110,63,12884,14057
Kerala,Pathanamthitta,Konni,71731,Aruvappulam,111128259%3A1,100.0,11,4422,1818,7,7,7,7,28,28,28,28,In progress,2396,196,12955,15547
Kerala,Pathanamthitta,Konni,71731,Malayalapuzha,11112825961,29.82,9,3232,1703,13,13,13,13,17,17,17,16,In progress,1591,29,9512,11132
Kerala,Pathanamthitta,Konni,71731,Vallicode,11112825911,55.0,15,5707,3643,15,15,15,15,29,29,29,29,In progress,3569,41,18341,21951
Kerala,Pathanamthitta,Konni,71731,Konnithazham,11112825%3A11,100.0,9,3482,2369,7,7,7,7,18,18,18,18,In progress,3340,63,12545,15948
Kerala,Pathanamthitta,Konni,71731,Iravan,11112825991,64.55,7,2710,2057,3,3,3,3,17,17,17,17,In progress,463,12,9919,10394
Kerala,Pathanamthitta,Konni,71731,Konni,11112825%3A21,65.16,8,2680,2666,20,20,20,20,14,14,14,14,In progress,738,8,12382,13128
Kerala,Pathanamthitta,Elamthoor,71711,Cherukole,11112825781,55.0,13,4483,1532,15,15,15,15,20,20,20,20,In progress,688,48,11433,12169
Kerala,Pathanamthitta,Elamthoor,71711,Naranganam,11112825791,55.0,14,6383,2556,11,11,11,11,18,18,18,18,In progress,1646,144,14668,16458
Kerala,Pathanamthitta,Elamthoor,71711,Chenneerkara,11112825761,55.0,14,6533,2758,20,20,20,20,22,22,22,21,In progress,3849,25,16463,20337
Kerala,Pathanamthitta,Elamthoor,71711,Elanthoor,11112825831,55.0,13,5456,2586,10,10,10,10,18,18,18,18,In progress,2729,58,14178,16965
Kerala,Pathanamthitta,Elamthoor,71711,Omalloor,11112825821,100.0,14,6615,3147,13,13,13,13,19,19,19,19,In progress,2676,49,16598,19323
Kerala,Pathanamthitta,Elamthoor,71711,Mallapuzhassery,11112825841,55.0,13,4025,2305,11,11,11,11,13,13,13,13,In progress,2091,21,10491,12603
Kerala,Pathanamthitta,Elamthoor,71711,Kozhenchery,111128257%3A1,55.0,13,4667,2926,12,12,12,12,17,17,17,17,In progress,1354,39,11591,12984
Kerala,Pathanamthitta,Ranni,71791,CHITTAR-SEETHATHODU,11112826461,100.0,13,4732,190,11,11,11,11,26,26,26,26,In progress,1411,127,14235,15773
Kerala,Pathanamthitta,Ranni,71791,ATHIKKAYAM,11112826431,100.0,8,2972,501,10,10,10,10,11,11,11,11,In progress,527,852,7700,9079
Kerala,Pathanamthitta,Ranni,71791,Kollamula,11112826391,100.0,15,7408,2139,16,16,16,16,32,32,32,32,In progress,1776,1220,18084,21080
Kerala,Pathanamthitta,Ranni,71791,Chittar-seethathodu,11112826441,55.0,13,5984,2227,11,11,11,11,23,23,23,20,In progress,2472,790,13263,16525
Kerala,Pathanamthitta,Ranni,71791,Pazhavangadi,11112826361,100.0,11,5458,2385,12,12,12,12,28,28,28,28,In progress,1247,307,14679,16233
Kerala,Pathanamthitta,Ranni,71791,Chethakkal,11112826351,35.79,15,6703,2942,28,28,28,28,27,27,27,27,In progress,1778,390,18072,20240
Kerala,Pathanamthitta,Ranni,71791,Vadasserikkara,11112826471,100.0,15,7421,3521,24,24,24,24,32,32,32,32,In progress,2557,197,19001,21755
Kerala,Pathanamthitta,Ranni,71791,Perunad,111128263%3A1,100.0,11,5591,2716,13,13,13,13,22,22,22,22,In progress,1877,667,12934,15478
Kerala,Pathanamthitta,Ranni,71791,Ranny-angadi,11112826371,100.0,13,5130,3286,14,14,14,14,21,21,21,21,In progress,810,33,14005,14848
Kerala,Pathanamthitta,Ranni,71791,Ranni,11112826341,100.0,13,4983,3418,11,11,11,11,18,18,18,18,In progress,1132,106,12207,13445
Kerala,Pathanamthitta,Pandalam,71761,Kidangannur,11112825%3A51,100.0,3,1656,188,1,1,1,1,0,0,0,0,In progress,1477,22,3783,5282
Kerala,Pathanamthitta,Pandalam,71761,Pandalam-thekkekara,11112826171,55.0,15,6756,1066,15,15,11,15,21,21,20,21,In progress,4454,41,16053,20548
Kerala,Pathanamthitta,Pandalam,71761,Thumpamon,111174%3A6%3A21,100.0,13,2999,953,9,9,6,9,10,10,10,10,In progress,1905,4,6940,8849
