state_name,district_name,block_name,blcode11,village_name,vil_encode,service_level,TotalHab,TotalNoofHouseholds,HousesWithTaps,NoofSchool,School_TapCon,RunningWater_In_Toilet_Urinals_School,hand_wash_avail_School,NoofBal_Agan,Bal_Agan_TapCon,RunningWater_In_Toilet_Urinals_Agan,hand_wash_avail_Agan,JJMStatus,SCCurrentPop,STCurrentPop,GENCurrentPop,TotalCurrentPop
Telangana,Warangal Rural,Duggondi,67771,Venkatapur,11111341621,102.85,5,730,730,0,0,0,0,3,3,0,3,100% Har Ghar Jal,315,142,2284,2741
Telangana,Warangal Rural,Duggondi,67771,Mallampalle,11111341631,104.75,6,953,953,3,3,1,3,5,5,0,5,100% Har Ghar Jal,511,11,2783,3305
Telangana,Warangal Rural,Duggondi,67771,Mahammadapur,11111341661,101.64,2,940,940,2,2,2,2,3,3,0,3,100% Har Ghar Jal,522,0,2818,3340
Telangana,Warangal Rural,Duggondi,67771,Thimmampet,11111341681,101.46,2,1088,1088,5,5,2,5,2,2,0,2,100% Har Ghar Jal,478,620,2683,3781
Telangana,Warangal Rural,Duggondi,67771,Chalaparthi,11111341691,103.37,2,387,387,3,3,0,3,2,2,0,2,100% Har Ghar Jal,306,0,1178,1484
Telangana,Warangal Rural,Duggondi,67771,Rekampalle,111113416%3A1,103.34,2,411,411,1,1,0,1,2,2,0,2,100% Har Ghar Jal,297,0,1201,1498
Telangana,Warangal Rural,Duggondi,67771,Ponakal,11111341711,104.27,3,479,479,2,2,1,2,3,3,0,3,100% Har Ghar Jal,177,5,1573,1755
Telangana,Warangal Rural,Duggondi,67771,Nachinepalle,11111341721,100.8,1,926,926,1,1,1,1,2,2,0,2,100% Har Ghar Jal,588,21,2526,3135
Telangana,Warangal Rural,Duggondi,67771,Thogarrai,11111341731,101.27,1,630,630,3,3,3,3,2,2,2,2,100% Har Ghar Jal,265,28,2468,2761
Telangana,Warangal Rural,Duggondi,67771,Mandapally,11111341741,101.88,4,1329,1329,3,3,2,3,4,4,0,4,100% Har Ghar Jal,657,625,3552,4834
Telangana,Warangal Rural,Duggondi,67771,Madhira Mandapalle,11111341761,104.44,1,151,151,1,1,0,1,1,1,0,1,100% Har Ghar Jal,147,5,433,585
Telangana,Warangal Rural,Duggondi,67771,Adavi Rangapur,11111341771,105.5,3,329,329,1,1,0,1,3,3,0,3,100% Har Ghar Jal,229,482,581,1292
Telangana,Warangal Rural,Geesugonda,67791,Bodduchinthala Pally,11111341791,113.46,2,285,285,1,1,0,1,2,2,0,2,100% Har Ghar Jal,495,25,602,1122
Telangana,Warangal Rural,Geesugonda,67791,Manugonda,111113417%3A1,106.49,2,785,785,1,1,0,1,3,3,0,2,100% Har Ghar Jal,785,0,2038,2823
Telangana,Warangal Rural,Geesugonda,67791,Elkurthy,11111341821,105.48,1,1171,1171,2,2,0,2,4,4,0,4,100% Har Ghar Jal,692,61,2620,3373
Telangana,Warangal Rural,Geesugonda,67791,Elkurthy,11111341831,106.38,6,1722,1722,5,5,0,5,8,8,0,5,100% Har Ghar Jal,1537,193,4663,6393
Telangana,Warangal Rural,Geesugonda,67791,Anantharam,11111341841,114.67,1,225,225,1,1,0,1,1,1,0,1,100% Har Ghar Jal,206,76,570,852
Telangana,Warangal Rural,Geesugonda,67791,Kommala,11111341851,109.21,4,799,799,1,1,0,1,5,5,0,5,100% Har Ghar Jal,261,840,1701,2802
Telangana,Warangal Rural,Geesugonda,67791,Viswanath Pur,11111341861,108.7,8,837,837,4,4,0,3,7,7,0,4,100% Har Ghar Jal,134,2230,1012,3376
