name,constituency,so_do_wo,age,party,assets,liabilities
BANDLA KRISHNA MOHAN REDDY(Winner),GADWAL  (JOGULAMBA GADWAL),Late Venkatrami Reddy,56,BRS,Telangana 2018,"Rs1,09,07,923"
BEESANNA,ALAMPUR (SC)  (JOGULAMBA GADWAL),GUNDANNA,57,IND,"Rs 52,67,879",Nil
BR THIMMANNA,GADWAL  (JOGULAMBA GADWAL),BR Kurumanna,39,IND,"Rs 13,30,762","Rs 2,99,119"
BUDIDA ANIL KUMAR,GADWAL  (JOGULAMBA GADWAL),Budida Hanmanthu,26,IND,"Rs 3,93,000",Nil
DR. S.A.SAMPATH KUMAR,ALAMPUR (SC)  (JOGULAMBA GADWAL),Sh. S Anand Rao,51,INC,Telangana 2018,"Rs3,10,91,673"
DR.R.PRASANNA KUMAR,ALAMPUR (SC)  (JOGULAMBA GADWAL),Late B.R. Savaranna,51,BSP,"Rs 1,48,29,685","Rs 1,12,35,000"
EDIGA PARAMESHWAR GOUD,GADWAL  (JOGULAMBA GADWAL),Ediga Anantamma,34,IND,"Rs 30,47,705","Rs 11,97,000"
G SARITHA,GADWAL  (JOGULAMBA GADWAL),G Vishuvardhan Reddy,31,Navarang Congress Party,"Rs 16,01,709",Nil
G. RANJITH KUMAR,GADWAL  (JOGULAMBA GADWAL),G Yellapa,39,All India Forward Bloc,"Rs 1,73,80,418","Rs 25,49,217"
H VIJAY BABU,ALAMPUR (SC)  (JOGULAMBA GADWAL),Chinappa,35,Alliance of Democratic Reforms Party,"Rs 11,62,548",Nil
K GOPAL,ALAMPUR (SC)  (JOGULAMBA GADWAL),K BUCHANNA,45,IND,"Rs 5,14,000",Nil
K SRINIVASULU S/O K KRISHNA MURTHY,GADWAL  (JOGULAMBA GADWAL),K Krishna Murthy,37,IND,"Rs 30,51,689","Rs 5,78,312"
K SRINIVASULU S/O K SUNKANNA,GADWAL  (JOGULAMBA GADWAL),Late K Sunkanna,48,IND,"Rs 4,71,290",Nil
K. KRISHNA,GADWAL  (JOGULAMBA GADWAL),K Naganna,32,Bhartiya Swadeshi Congress,"Rs 22,93,590","Rs 8,41,000"
LAXMANNA,ALAMPUR (SC)  (JOGULAMBA GADWAL),NAGARAJU,26,Dharma Samaj Party,"Rs 1,32,000",Nil
LINGANNA R P,ALAMPUR (SC)  (JOGULAMBA GADWAL),NADIPI MALDAKAL,37,All India Forward Bloc,"Rs 27,61,000","Rs 11,36,000"
