name,constituency,so_do_wo,age,party,assets,liabilities
AADE GAJENDER,BOATH (ST)  (ADILABAD),Parusuram,44,INC,Telangana 2018,"Rs1,14,40,000"
ADE SUNIL KUMAR,BOATH (ST)  (ADILABAD),Ade Govind,33,Bharatha Chaitanya Yuvajana Party,"Rs 9,21,000","Rs 6,57,000"
AGGIMALLA GANESH,ADILABAD  (ADILABAD),Nadipenna,37,Dharma Samaj Party,Telangana 2023,"Rs1,93,18,616"
ALLURI SANJEEVA REDDY,ADILABAD  (ADILABAD),Bhumaa Reddy,65,IND,"Rs 3,38,66,297","Rs 4,33,368"
ANIL JADHAV(Winner),BOATH (ST)  (ADILABAD),Rama Rao,49,BRS,Telangana 2023,"Rs50,254"
ANNAM PREM DEVENDER,ADILABAD  (ADILABAD),Nadipenna,47,IND,"Rs 36,27,372","Rs 1,16,019"
ASLAM,ADILABAD  (ADILABAD),Shaik Esmail,36,IND,"Rs 2,20,000","Rs 1,05,000"
BADU NAITHAM,BOATH (ST)  (ADILABAD),DHARMANNA,42,Gondvana Gantantra Party,"Rs 19,85,000",Nil
BANU RAJESHWAR RAO,ADILABAD  (ADILABAD),Shyamrao,64,IND,"Rs 7,51,000","Rs 80,000"
BEDODKAR GANESH,ADILABAD  (ADILABAD),Bedurkar Dilip,35,IND,"Rs 35,000",Nil
BHUPENDER,ADILABAD  (ADILABAD),Hanman das,26,Alliance of Democratic Reforms Party,"Rs 60,000",Nil
ELCHARWAR SATHYANARAYANA,ADILABAD  (ADILABAD),Nandu Elcharwar,35,Baliraja Party,"Rs 23,34,800",Nil
GEDAM JANARDHAN,ADILABAD  (ADILABAD),Vittal,53,IND,"Rs 32,10,000","Rs 29,88,000"
GUDEPELLY GNANESH,ADILABAD  (ADILABAD),Gudepelly Nagesh,27,Bharatha Chaitanya Yuvajana Party,"Rs 40,00,000","Rs 13,00,000"
JADHAV BHOJYA NAIK,BOATH (ST)  (ADILABAD),Chandhu Naik,51,IND,"Rs 1,20,000","Rs 60,000"
JOGU RAMANNA,ADILABAD  (ADILABAD),Late. Ashanna,60,BRS,Telangana 2018,"Rs3,78,71,078"
KALAMADUGU VIJAY KUMAR,ADILABAD  (ADILABAD),Daniel,55,IND,"Rs 1,00,000",Nil
KAMLE BHAGAVAN,ADILABAD  (ADILABAD),Kamle Laxman,34,Republican Party of India,Telangana 2018,"Rs11,00,000"
KANDI SRINIVASA REDDY,ADILABAD  (ADILABAD),Kandi Kishta Reddy,40,INC,"Rs 50,88,68,554","Rs 4,96,85,257"
KEMA SRINIVAS,ADILABAD  (ADILABAD),Kema Narayana,34,Praja Ektha Party,"Rs 92,65,370","Rs 27,03,591"
MESRAM JANGUBAPU,BOATH (ST)  (ADILABAD),RAMULU,34,BSP,"Rs 6,88,984","Rs 4,76,466"
MUNDE PRAVEEN KUMAR,ADILABAD  (ADILABAD),Munde Digamber,25,IND,"Rs 23,15,600",Nil
NAGANNA GALIPELLI,ADILABAD  (ADILABAD),Narsimulu,33,IND,"Rs 48,36,543","Rs 65,000"
PAYAL SHANKER(Winner),ADILABAD  (ADILABAD),Adellu,52,BJP,Telangana 2018,"Rs4,33,74,112"
SOYAM BAPURAO,BOATH (ST)  (ADILABAD),Soyam Nago Rao,54,BJP,Lok Sabha 2019,"Rs30,99,414"
SUBASH NAVATE,ADILABAD  (ADILABAD),Ramulu,49,IND,"Rs 86,06,000","Rs 29,38,592"
SURYAVAMSHI VIDHYASAGAR,ADILABAD  (ADILABAD),Prahakar,39,Bahujan Mukti Party,"Rs 3,99,908",Nil
TAKBIDE PANDIT RAO,ADILABAD  (ADILABAD),Sopan Rao,75,IND,Telangana 2018,"Rs16,44,000"
TAKSANDE DHARMAPAL,ADILABAD  (ADILABAD),Mohan,37,IND,"Rs 50,000",Nil
THUMRAM CHANDRA SHAV,ADILABAD  (ADILABAD),Thumram Datta Ram,38,Gondvana Gantantra Party,"Rs 69,98,000","Rs 10,82,000"
TODASAM DHANALAXMI,BOATH (ST)  (ADILABAD),TODASAM MUYYANNA,40,IND,"Rs 47,59,102","Rs 8,20,000"
UHIKEA HEERAJI,BOATH (ST)  (ADILABAD),ANAND RAO,45,Rashtriya Jankranti Party,"Rs 3,31,000","Rs 1,45,000"
UIKKE UMESH,BOATH (ST)  (ADILABAD),SUNGANNA UIKKE,33,Dharma Samaj Party,"Rs 10,10,000","Rs 45,000"
VAGMARE ABISHEK,ADILABAD  (ADILABAD),Vishwanath,43,IND,"Rs 10,000",Nil
VOTER CAR SURESH,ADILABAD  (ADILABAD),Voter Car Rajanna,36,Yuga Thulasi Party,"Rs 7,42,200","Rs 6,00,000"
AZAM SHAIK,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Saleem,32,IND,Telangana 2018,"Rs12,000"
ADINARAYANA JARE(Winner),ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),SATHYANARAYANA,40,INC,Telangana 2014,"Rs3,96,000"
ALEM VENKATESWARLU,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Nagaiah,58,Aabaad Party,"Rs 27,24,000",Nil
ALLEM NARENDRA(KOTI),PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Satyam,40,IND,"Rs 18,89,500","Rs 6,88,141"
ANGOTHU KRISHNA,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Angothu jogya,48,IND,"Rs 45,74,000","Rs 1,00,000"
ANURADHA GUMMADI,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),NARSAIAH,38,IND,"Rs 1,19,49,942","Rs 61,08,207"
AREM VIJAY CHANDAR,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),Ramayya,32,IND,"Rs 5,000",Nil
ARJUNARAO PITTALA,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Nagulu,47,CPI(M),"Rs 45,10,800","Rs 50,000"
ARUNA CHINTHA,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Bataiah,36,Gondwana Dandkaranya Party,"Rs 9,46,749","Rs 7,83,900"
AVUTAPALLI RAMA LINGESHWARA RAO,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Avutupalli Subbarao,65,IND,"Rs 3,97,250","Rs 1,00,000"
BADAVATH PRATHAP,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),DHARIYA,31,BSP,"Rs 13,60,500","Rs 63,11,000"
BALARAJU PODIUM,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Podium Seethaiah,57,BJP,"Rs 2,84,00,342","Rs 15,19,077"
BANOTH HARI PRIYA,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),HARI S BANOTH,38,BRS,Telangana 2018,"Rs1,11,67,000"
BANOTH JAGGA RAO,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Sandhyanaik,38,IND,"Rs 3,31,070",Nil
BARLA VENKAT RAO,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Babu,46,IND,"Rs 13,05,500","Rs 5,10,000"
BIKSHAMAIAH JARE,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),RAMAIAH,69,Aabaad Party,"Rs 80,20,000",Nil
BUCHAIAH KOMARAM,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Muthaiah,53,IND,Telangana 2018,"Rs2,00,000"
CHEEMALA VENKATESWARLU,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),POTTAIAH,53,All India Forward Bloc,"Rs 59,86,000","Rs 7,50,000"
CHENNAIAH UNDETI,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Prasad,37,IND,"Rs 92,304","Rs 50,000"
DHARAVATH RAVINDER NAIK,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),D.T. NAIK,70,BJP,Telangana 2014,"Rs45,10,000"
DODDAPANENI SHESHAGIRI RAO,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Venkateswarlu,33,IND,"Rs 33,28,900",Nil
DR. TELLAM VENKATA RAO(Winner),BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Late Bapaniah,55,BRS,Telangana 2018,"Rs1,50,60,705"
DURGA PALVANCHA,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Satyanarayana,39,IND,Lok Sabha 2019,"Rs11,40,000"
EESAM KRISHNA,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),RAMAIAH,63,IND,"Rs 3,92,000","Rs 1,71,091"
EMANDI UDAY KUMAR,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Nageswara Rao,46,IND,"Rs 1,01,67,981","Rs 4,01,000"
GUGULOTH RAMESH,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Balu Guguloth,35,Vidhyarthula Rajakiya Party,"Rs 1,11,654","Rs 61,748"
GUGULOTH SAI KUMAR,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),VENKATRAM,26,IND,"Rs 3,31,500",Nil
GUGULOTHU BHADRU,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),Chanda,44,IND,"Rs 2,43,47,000","Rs 4,00,000"
GUMALAPURAM SATYANARAYANA,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Rama Narsaiah,66,IND,"Rs 2,24,000",Nil
IRPA RAVIKUMAR,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Bhadraiah,47,BSP,"Rs 1,33,000",Nil
JABBA KRISHNA,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Venkanna,49,IND,"Rs 9,20,000","Rs 75,000"
JALAGAM VENKAT RAO,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Jalagam Vengal Rao,56,All India Forward Bloc,Telangana 2018,"Rs35,68,33,703"
JEEVAN KOPPULA,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Babu Rao,29,Dharma Samaj Party,"Rs 51,054",Nil
KANNEBOINA VENKATANARSAIAH,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),K. Arjaiah,57,Gondvana Gantantra Party,"Rs 2,39,000",Nil
KANTHA RAO REGA,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Late Borraiah,46,BRS,Telangana 2018,"Rs44,59,269"
KARAM PULLAIAH,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),K.Muthaiah,38,CPI(M),"Rs 5,05,707",Nil
KATUKOJWALA NAGESWARA RAO,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Katukojwala Chandraiah,58,IND,"Rs 37,93,017","Rs 1,30,000"
KISHOR KALLURI,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Ramudu,51,IND,"Rs 14,28,800","Rs 2,40,000"
KODEM VENKATESWARLU,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Nangaiah,48,IND,"Rs 1,08,78,000",Nil
KODI NAGARAJU,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),KODI NARAYANA,28,Gondwana Dandkaranya Party,"Rs 32,74,975","Rs 2,71,727"
KORAM KANAKAIAH(Winner),YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),Pullaiah,61,INC,Telangana 2014,"Rs34,00,000"
KOYYALA SARITHA,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Koyyala Pullaiah,39,IND,"Rs 43,35,000",Nil
KRISHNA DUGGI,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),NARASAIAH,50,CPI(M),"Rs 22,28,750","Rs 3,65,000"
KUNAMNENI SAMBASIVA RAO(Winner),KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Venkatarathaiah,67,CPI,"Rs 2,33,39,376","Rs 4,32,246"
KUNJA DHARMARAO,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Kunja Veeraiah,59,BJP,"Rs 14,63,783","Rs 4,16,069"
KUNJA DURGA,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Laxmaiah,31,Bharatha Chaitanya Yuvajana Party,"Rs 11,05,360",Nil
KUNJA KRISHNA RAO,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Venkateswarlu,37,IND,"Rs 10,75,500","Rs 10,37,000"
KUNJA NAGAMANI,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Lakshmaiah,44,IND,"Rs 6,000",Rs 0
LENIN KALTHI,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Rama Chandrayya,27,IND,"Rs 7,000",Nil
MADAKAM MITHRA,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Saraiah,30,Vidhyarthula Rajakiya Party,"Rs 8,15,000",Nil
MADAKAM PRASAD,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Mutyalu,44,BSP,"Rs 21,15,566","Rs 3,30,000"
MALOTH SRINIVAS,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Late Vasya,41,IND,"Rs 3,48,49,663","Rs 22,200"
MANUGONDA VENKATA MUTYAM,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Venkatesh,40,Bharatha Chaitanya Yuvajana Party,"Rs 90,61,700","Rs 32,50,000"
MARMAM THIRUPATHAMMA,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Ramudu,46,IND,"Rs 13,000",Nil
MECHA NAGESWARA RAO,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),RAMULU,56,BRS,Telangana 2018,"Rs32,80,390"
MESSU USHARANI,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),Kotha Vinay Babu,34,IND,"Rs 1,62,012","Rs 3,50,000"
MOKALLA KRISHNA,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),KANNAIAH,55,IND,"Rs 28,40,000","Rs 3,90,000"
MUKKU VENKATA NARSAREDDY,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Ramireddy,50,Pyramid Party of India,"Rs 12,57,25,482","Rs 4,45,47,681"
MUKTI RAJU,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),Narsaiah,46,IND,"Rs 51,000","Rs 15,000"
MUTHI MUTHAMMA,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),NARASAIAH,52,IND,"Rs 5,01,000",Nil
MUYYABOINA UMA DEVI,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),KURISETTY NAGA BABU,32,Janasena Party,"Rs 1,23,365","Rs 1,45,639"
NAKKA SAIBABU,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Dharmaiah,27,IND,"Rs 1,33,000","Rs 3,28,178"
NARSAIAH SRAVANABOINA,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Yadagiri,70,IND,"Rs 89,23,000",Nil
PADDAM VENKATA RAMANA,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Muthyalu,35,Alliance of Democratic Reforms Party,"Rs 11,50,000",Nil
PANDRA HEMASUNDAR,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),P. Gopaiah,38,IND,Telangana 2018,"Rs1,39,100"
PAYAM VENKATESWARLU(Winner),PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Late Kamaraju,49,INC,Telangana 2018,"Rs1,10,29,353"
PODEM VEERAIAH,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Sammaiah,57,INC,Telangana 2018,"Rs87,48,259"
POLEBOINA RAVI,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),Bakkaiah,37,IND,"Rs 2,89,000","Rs 40,000"
POTRU PRAVEEN KUMARU,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Potru Laxman Rao,31,Yuva Taram Party,"Rs 47,50,000","Rs 10,50,000"
PRASAD LAKAVATH,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),LAKAVATH LAKPATHI,35,Vidhyarthula Rajakiya Party,"Rs 9,02,300","Rs 8,46,470"
PUNEM PRADEEP KUMAR,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),P.Benzimen,46,Bharatha Chaitanya Yuvajana Party,"Rs 12,400",Nil
PUNEM RAJESH,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Shankaraiah,29,IND,"Rs 35,17,100","Rs 31,61,000"
RAMANA REDDY SUREDDY,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Late Garata Reddy,59,IND,Telangana 2018,"Rs61,09,359"
RAMANALA LAKSHMAIAH,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),SEETHAIAH,52,Bahujan Mukti Party,"Rs 92,10,000","Rs 3,40,000"
RAMESH BANOTU,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Sakroo,38,IND,Telangana 2018,"Rs7,14,000"
RAVVA BHADRAMMA,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),Kota Ramana Kishore,35,Dharma Samaj Party,"Rs 12,00,000",Nil
SANAPA KOTESWARA RAO,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Sanapa Ramulu,34,Gondwana Dandkaranya Party,"Rs 18,31,523","Rs 8,24,000"
SRINIVASA RAO KAVUDAGANI,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Late Komaraiah,57,Bharatha Chaitanya Yuvajana Party,"Rs 3,17,38,781","Rs 65,00,000"
SRINIVASA REDDY MARAM,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Venkata Reddy Maram,40,IND,"Rs 1,12,70,061","Rs 6,45,000"
SURENDAR RAO LAKKINENI,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Venkateshwar Rao,55,Janasena Party,"Rs 4,72,95,600","Rs 58,83,557"
TALLADA VENKATESWARLU,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Lakshmaiah,53,Alliance of Democratic Reforms Party,"Rs 10,77,000",Nil
THAMBALLA RAVI,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Basavaiah,36,IND,"Rs 3,25,000",Nil
THANDRA VENKATESHWARLU,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Narasaiah,57,IND,Telangana 2014,"Rs3,00,000"
THUMMALAPALLI RAMBABU,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Venkateswarlu,51,IND,"Rs 95,83,186",Nil
UBBA SEETHARAMULU,BHADRACHALAM (ST)  (BHADRADRI KOTHAGUDEM),U.Laxmaiah,40,IND,"Rs 13,36,000",Nil
UKE MUDDARAJU,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Veeraiah,40,IND,"Rs 1,15,76,000","Rs 38,55,000"
UKE RAVI,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),U. Nagulu,30,Gondwana Dandkaranya Party,"Rs 14,63,959","Rs 1,00,000"
VAASAM RAMA KRISHNA DORA,YELLANDU (ST)  (BHADRADRI KOTHAGUDEM),RAMBABU,37,Bharatha Chaitanya Yuvajana Party,Telangana 2014,"Rs11,12,500"
VAJJA JYOTHI BASU,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Ramaswamy,43,Gondwana Dandkaranya Party,Telangana 2023,"Rs7,69,500"
VAJJA SAMULU,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Vajja Nagaiah,36,BSP,"Rs 13,85,100",Nil
VANAMA VENKATESWARA RAO,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Nagabhushanam Vanama,78,BRS,Telangana 2018,"Rs3,32,63,229"
VASAM MANGAIAH,PINAPAKA (ST)  (BHADRADRI KOTHAGUDEM),Muthaiah,46,IND,"Rs 68,000",Nil
VENUGOPAL REDDY GUJJULA,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Kesava Reddy Gujjula,28,IND,"Rs 1,60,007",Nil
VUKE MUKTHESWARARAO,ASWARAOPETA (ST)  (BHADRADRI KOTHAGUDEM),Vuke Rajulu,43,IND,"Rs 1,30,000",Nil
YERRA KAMESH,KOTHAGUDEM  (BHADRADRI KOTHAGUDEM),Nagaraju Yerra,44,BSP,"Rs 61,73,834","Rs 22,79,534"
A. RAVINDAR REDDY,PARKAL  (HANUMAKONDA),Abbadi  Aagi Reddy,53,IND,"Rs 27,49,375","Rs 3,20,000"
ABBADI BUCHI REDDY,PARKAL  (HANUMAKONDA),Venkata Raji Reddy,54,Bharatha Chaitanya Yuvajana Party,Telangana 2018,"Rs12,90,000"
AMUDALAPELLY MALLESHAM,PARKAL  (HANUMAKONDA),Amudalapelly Veeraiah,45,BSP,"Rs 52,67,000","Rs 7,12,200"
ANDE KUMARASWAMY,PARKAL  (HANUMAKONDA),Laxmi Narayan Ande,38,IND,"Rs 39,06,500",Nil
ARSHAM ASHOK,PARKAL  (HANUMAKONDA),Saraiah,35,IND,"Rs 5,500",Nil
B. RAMCHANDAR RAO,PARKAL  (HANUMAKONDA),Gopal Rao,50,IND,"Rs 57,09,500","Rs 65,00,000"
BOCHU KRUPAKAR,PARKAL  (HANUMAKONDA),Yohan,49,IND,Lok Sabha 2019,"Rs11,50,000"
BOLLU RAJIREDDY,PARKAL  (HANUMAKONDA),Venkata Reddi Bollu,47,IND,"Rs 1,18,80,000","Rs 2,00,000"
BOMMAGANI BHARGAV,WARANGAL WEST  (HANUMAKONDA),Bhaskar,30,IND,"Rs 1,27,000",Nil
CHALLA DHARMA REDDY,PARKAL  (HANUMAKONDA),Challa Mallareddy,55,BRS,Telangana 2018,"Rs32,62,39,275"
CHIMMANI DEVARAJU,PARKAL  (HANUMAKONDA),Laxminarayana,39,IND,"Rs 98,00,500","Rs 20,90,000"
DASYAM VINAY BHASKER,WARANGAL WEST  (HANUMAKONDA),Late Rangaiah,59,BRS,Telangana 2018,"Rs7,84,74,997"
DEVARAJU PENDELA,PARKAL  (HANUMAKONDA),Odaiah Pendela,52,Rashtriya Praja Congress (Secular),Telangana 2023,"Rs56,000"
DONTHULA SRAVAN,PARKAL  (HANUMAKONDA),Yugender,29,Bhartiya Swadeshi Congress,"Rs 3,56,000",Nil
GADDAM NAGARJUNA,WARANGAL WEST  (HANUMAKONDA),Gaddam venkataiah,33,Marxist Communist Party of India (United),"Rs 3,47,350","Rs 28,000"
GAJJI VISHNU,PARKAL  (HANUMAKONDA),Suraiah,37,IND,"Rs 27,53,000",Nil
GANIPAKA KORNEL,PARKAL  (HANUMAKONDA),Ganipaka Asaiah,55,IND,"Rs 40,000",Nil
GONE RAJU,PARKAL  (HANUMAKONDA),Gone Komuraiah,35,IND,"Rs 4,87,000","Rs 2,51,000"
GUJJULA SRINIVAS REDDY,WARANGAL WEST  (HANUMAKONDA),Malla reddy,40,IND,"Rs 2,90,302",Nil
GUNDA RAMU,PARKAL  (HANUMAKONDA),Gunda Sudhaka,39,IND,Telangana 2018,"Rs2,00,000"
GURRAM JAKKAIAH,WARANGAL WEST  (HANUMAKONDA),Devadasu,72,IND,"Rs 1,23,00,000","Rs 22,80,000"
ILAPURAM VENUCHARY,WARANGAL WEST  (HANUMAKONDA),Mallaiah,40,Telangana Dravida Prajala Party,"Rs 4,85,500",Nil
KALI PRASAD RAO PAGADALA,PARKAL  (HANUMAKONDA),Venkataiah Pagadala,59,BJP,"Rs 39,88,43,538","Rs 4,21,50,722.24"
KOLAGANI SURESH,PARKAL  (HANUMAKONDA),Babu,35,IND,Nil,Nil
KRISHNA. K,WARANGAL WEST  (HANUMAKONDA),Ravinder Reddy,53,IND,"Rs 1,98,07,523","Rs 46,80,000"
KUMARASWAMY GONE,PARKAL  (HANUMAKONDA),Roshaiah,55,Marxist Communist Party of India (United),"Rs 78,36,600","Rs 1,60,000"
MOHAMMED KHALEE UDDIN,WARANGAL WEST  (HANUMAKONDA),Moinuddin Mohammed,67,IND,"Rs 10,000",Nil
NAINI RAJENDER REDDY(Winner),WARANGAL WEST  (HANUMAKONDA),Naini Narender Reddy,54,INC,"Rs 7,83,80,333","Rs 1,26,12,970"
NALLELLA SATHISH,PARKAL  (HANUMAKONDA),Sanjeevaiah,33,IND,"Rs 12,45,000",Nil
P. JANARDHAN,PARKAL  (HANUMAKONDA),Pendli Lingaiah,48,IND,"Rs 9,12,750","Rs 5,00,000"
P. SATHYA PRAKASH,WARANGAL WEST  (HANUMAKONDA),P. Rajeshwar Rao,59,IND,Telangana 2018,"Rs1,75,545"
PADMA RAO,WARANGAL WEST  (HANUMAKONDA),Amarender Reddy Rao,56,BJP,Telangana 2014,"Rs3,18,64,472"
PENDELA KUMARSWAMY,PARKAL  (HANUMAKONDA),Sambaiah Pendela,36,IND,"Rs 12,14,500","Rs 1,48,000"
PRASAD SANGHI,PARKAL  (HANUMAKONDA),Jampaiah,35,IND,"Rs 10,957",Nil
PURELLA RAMESH,PARKAL  (HANUMAKONDA),Komuraiah,35,Dharma Samaj Party,"Rs 38,500","Rs 40,000"
RAMESH BABU SHANIGARAPU,PARKAL  (HANUMAKONDA),Yadagiri,39,Peoples Party of India (Democratic),"Rs 6,000",Nil
RAVI KUMAR MADARAPU,WARANGAL WEST  (HANUMAKONDA),Ramachandariah Madarapu,44,BSP,"Rs 55,65,580","Rs 3,50,000"
REVURI PRAKASH REDDY(Winner),PARKAL  (HANUMAKONDA),Late Revuri Narayana Reddy,71,INC,Telangana 2018,"Rs5,02,94,075"
ROOPA KOGILA,WARANGAL WEST  (HANUMAKONDA),Anil,28,Dharma Samaj Party,"Rs 8,30,000","Rs 10,000"
SYED SHAJI HASHIR,WARANGAL WEST  (HANUMAKONDA),Syed Sadiq Ali,33,Aazad Samaj Party (Kanshi Ram),"Rs 6,17,579","Rs 4,20,924"
T. RAMMURTHI,PARKAL  (HANUMAKONDA),Sarangapani,48,IND,"Rs 51,000",Nil
YOUGENDAR GOUD,WARANGAL WEST  (HANUMAKONDA),Sambaiah Gatla,44,Alliance of Democratic Reforms Party,"Rs 1,26,500","Rs 70,000"
YUVARAJU SANGEKARI,PARKAL  (HANUMAKONDA),Rajeshwar Rao,30,Vidhyarthula Rajakiya Party,"Rs 18,62,000","Rs 1,95,000"
A. RAJESHWAR YADAV,MALAKPET  (HYDERABAD),LATE A. ANJAIAH,62,IND,"Rs 1,09,66,000","Rs 4,00,000"
A.SRINIVAS,SANATHNAGAR  (HYDERABAD),Late A. Laxman,42,IND,Telangana 2018,"Rs3,70,000"
ABDUL HAMEED,KHAIRATABAD  (HYDERABAD),Abdul Khalid,33,IND,"Rs 3,70,000",Nil
ABDUL JALEEL,YAKUTPURA  (HYDERABAD),Late Abdul Sattar,38,IND,Telangana 2018,"Rs85,000"
ABDUL RAHAMAN MANTRALA,CHANDRAYANGUTTA  (HYDERABAD),Mahabub Saheb M,42,Dharma Samaj Party,"Rs 27,15,000","Rs 18,50,000"
ABRAR HUSSAIN AZAD,CHARMINAR  (HYDERABAD),Badrul Husan,47,BSP,"Rs 68,01,671",Nil
ADALA KARUNA,CHANDRAYANGUTTA  (HYDERABAD),Adala Shiva Kumar,45,Yuga Thulasi Party,"Rs 1,58,17,985","Rs 90,73,809"
ADAM AHMED SHAIK,MALAKPET  (HYDERABAD),Shaik Muneer Ahmed,29,Vidhyarthula Rajakiya Party,"Rs 10,000",Nil
ADAM SANTHOSH KUMAR,SECUNDERABAD  (HYDERABAD),Late Sri Adam Shanker  Rao,55,INC,"Rs 12,65,68,300","Rs 1,09,25,000"
ADDALA KARTHIK,KARWAN  (HYDERABAD),Addala  Babu rao,29,Yuga Thulasi Party,"Rs 1,05,692",Nil
AEPURI VIKRAM BABU,KHAIRATABAD  (HYDERABAD),Late Aepuri Pentaiah,44,Dharma Samaj Party,"Rs 25,61,000",Nil
AHMED BIN ABDULLAH BALALA(Winner),MALAKPET  (HYDERABAD),Abdullah Bin Ahmed Balala,56,All India Majlis-E-Ittehadul Muslimeen,Telangana 2018,"Rs13,56,93,850"
